,ticker,month,mean_transactions,median_transactions,sd_transactions,mean_low,median_low,sd_low,mean_high,median_high,sd_high,mean_close,median_close,sd_close
513,OXM,October,619400,607000,83766.79533,81.45,80.81999969,2.513811923,87.7819992,86.59999847,3.813502069,84.52999878,84.20999908,4.228052755
514,OXM,November,730400,682950,118907.0856,82.44249916,82.09999848,4.486295347,89.1099987,90.40499878,4.179359659,85.04249954,84.93000031,4.784722528
515,OXM,December,1115080,700100,854406.9461,67.38600006,64.90000153,4.200854802,75.03000183,71.66000366,5.111175026,70.39400177,70.76000214,3.201497216
516,GES,January,5431780,3701300,4036692.87,16.22199974,15.92000008,1.188736836,18.46199989,18.25,0.813644007,17.18799992,17.52000046,1.550269888
517,GES,February,6934600,6420550,1821937.813,14.66499996,14.5250001,0.47992163,16.16749978,16.22499943,0.436025974,15.65250015,15.57499981,0.50859495
518,GES,March,12690950,8699050,8400821.339,15.96999979,14.53499985,2.55946273,18.80249977,18.77999974,2.879160775,17.74250007,17.67000008,2.810892982
519,GES,April,6529080,6532000,2111045.651,21.92200012,22.18000031,0.785325616,23.66000023,23.70000076,0.287819124,22.98000031,23.26000023,0.488958172
520,GES,May,8045950,6152550,3482027.304,22.33500004,22.92000007,1.838008111,25.36250019,25.3550005,0.657091011,23.57500029,24.46000004,2.148540258
521,GES,June,5395375,5197550,1269288.569,21.06499958,21.35499954,0.638690095,22.88500023,22.94999981,0.232862503,21.92249966,21.92499924,0.378178509
522,GES,July,2459560,2162000,558573.188,21.27600021,21.35000038,0.479900032,22.89599991,22.85000038,0.68189736,22.10199966,21.95999908,0.492641863
523,GES,August,5549675,3533300,4314118.339,22.06750011,21.97000027,0.393788259,24.625,24.10499954,1.382000757,23.35750008,23.15999985,0.715519703
524,GES,September,3868225,3839900,702602.6202,21.93499994,21.95999908,0.150582089,23.60999966,23.18999958,0.805388321,22.44000006,22.47500038,0.185337242
525,GES,October,3495200,3553100,675012.2754,20.25199967,20.05999947,0.387266926,22.11199989,21.95999908,0.604430686,21.13600006,21.04000092,0.772802554
526,GES,November,4596675,3545650,2500473.378,20.54500007,20.44500065,0.745067251,22.69750023,22.70499993,0.861840588,21.77749968,21.35499955,1.226791768
527,GES,December,3697300,4423900,1973288.195,19.82799988,19.62999916,1.236954789,21.8119999,21.05999947,1.42805304,20.47799988,20.65999985,1.027509728
528,CAL,January,1250260,1335500,221692.3688,30.88999977,31.45999908,1.131317524,33.31400032,33.65000153,0.905110311,31.72000046,32.29000092,1.629453794
529,CAL,February,1368100,1326600,347463.4873,27.77999973,27.8199997,0.546671508,29.92000007,30.02999973,0.285219007,29.05749989,29.11499977,0.387774517
530,CAL,March,2129475,1703650,1040708.166,29.93249989,29.93500042,2.150015261,32.8125,33.80999947,2.143728063,31.52999973,32.11000061,1.96949232
531,CAL,April,1668340,1664200,294734.8476,32.39599953,32.06999969,0.838631898,34.75400085,34.58000183,0.882327684,33.54800034,33.63999939,0.84081812
532,CAL,May,2513125,2651850,752934.6133,33.82250023,34.05500031,1.046240249,36.15750122,36.33500099,0.784231198,35.28249932,35.26499939,0.708991791
533,CAL,June,2642575,2550650,257667.9877,33.63749981,33.5549984,0.385511602,35.87000084,35.87000084,0.422018901,34.65999985,34.6949997,0.784122837
534,CAL,July,1535620,1588200,301116.9434,33.05400009,33.06000137,0.291039483,35.67999954,35.59999847,0.731983656,34.35,34.09000015,0.91640617
535,CAL,August,1403850,1330900,292646.7196,35.585001,35.73500062,1.200884855,38.27750015,38.11499977,2.013149069,37.42000103,36.90000153,1.902944286
536,CAL,September,2123375,1962250,519076.3449,35.18249893,35.16499901,0.628464979,38.22249985,37.69000053,1.540882582,35.9175005,35.88000107,0.697651375
537,CAL,October,1503460,1457400,184197.8458,32.72000046,33.20000076,0.675958577,35.13799973,34.79999924,0.789440233,33.68399887,33.47999954,1.142288946
